ds,ts
2010-12-21,2.0
2010-12-22,1.0
2010-12-23,1.0
2010-12-24,2.0
2010-12-25,1.0
2010-12-26,1.0
2010-12-27,1.0
2010-12-28,1.0
2010-12-29,2.0
2010-12-30,1.0
2010-12-31,1.0
2011-01-01,1.0
2011-01-02,5.0
2011-01-03,5.0
2011-01-04,4.0
2011-01-05,2.0
2011-01-06,1.0
2011-01-07,2.0
2011-01-08,1.0
2011-01-09,3.0
2011-01-10,5.0
2011-01-11,1.0
2011-01-12,1.0
2011-01-13,1.0
2011-01-14,3.0
2011-01-15,1.0
2011-01-16,1.0
2011-01-17,7.0
2011-01-18,4.0
2011-01-19,1.0
2011-01-20,1.0
2011-01-21,1.0
2011-01-22,4.0
2011-01-23,2.0
2011-01-24,1.0
2011-01-25,2.0
2011-01-26,3.0
2011-01-27,1.0
2011-01-28,5.0
2011-01-29,1.0
2011-01-30,3.0
2011-01-31,2.0
2011-02-01,5.0
2011-02-02,1.0
2011-02-03,3.0
2011-02-04,4.0
2011-02-05,4.0
2011-02-06,2.0
2011-02-07,3.0
2011-02-08,2.0
2011-02-09,1.0
2011-02-10,2.0
2011-02-11,2.0
2011-02-12,2.0
2011-02-13,2.0
2011-02-14,3.0
2011-02-15,5.0
2011-02-16,1.0
2011-02-17,1.0
2011-02-18,3.0
2011-02-19,3.0
2011-02-20,3.0
2011-02-21,9.0
2011-02-22,4.0
2011-02-23,3.0
2011-02-24,4.0
2011-02-25,2.0
2011-02-26,2.0
2011-02-27,2.0
2011-02-28,3.0
2011-03-01,5.0
2011-03-02,3.0
2011-03-03,3.0
2011-03-04,2.0
2011-03-05,4.0
2011-03-06,1.0
2011-03-07,6.0
2011-03-08,1.0
2011-03-09,8.0
2011-03-10,1.0
2011-03-11,1.0
2011-03-12,3.0
2011-03-13,2.0
2011-03-14,13.0
2011-03-15,4.0
2011-03-16,3.0
2011-03-17,4.0
2011-03-18,1.0
2011-03-19,3.0
2011-03-20,4.0
2011-03-21,6.0
2011-03-22,5.0
2011-03-23,1.0
2011-03-24,2.0
2011-03-25,2.0
2011-03-26,1.0
2011-03-27,1.0
2011-03-28,10.0
2011-03-29,2.0
2011-03-30,2.0
2011-03-31,1.0
2011-04-01,3.0
2011-04-02,3.0
2011-04-03,3.0
2011-04-04,9.0
2011-04-05,4.0
2011-04-06,7.0
2011-04-07,4.0
2011-04-08,1.0
2011-04-09,3.0
2011-04-10,5.0
2011-04-11,4.0
2011-04-12,6.0
